task_id	hash	name	process	tag	status	exit	attempt	realtime	duration	%cpu	peak_rss	peak_vmem	rss	vmem	rchar	wchar
40	a6/46976e	auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process (cellxgene_census/hypomap/log_cp10k.true_labels)	auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process	cellxgene_census/hypomap/log_cp10k.true_labels	CACHED	0	1	973ms	1.4s	387.4%	3.3 MB	4.4 MB	3.3 MB	4.4 MB	88.1 MB	62.1 KB
22	03/08f5fb	auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process (cellxgene_census/gtex_v9/log_cp10k.true_labels)	auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process	cellxgene_census/gtex_v9/log_cp10k.true_labels	CACHED	0	1	2.5s	3s	145.3%	325.4 MB	1.6 GB	325.4 MB	1.6 GB	411.7 MB	325.3 KB
32	8c/1f85be	auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process (cellxgene_census/tabula_sapiens/log_cp10k.true_labels)	auto:run_benchmark:run_wf:runEachWf:true_labels:processWf:true_labels_process	cellxgene_census/tabula_sapiens/log_cp10k.true_labels	CACHED	0	1	1.1s	1.5s	344.7%	182.3 MB	1.5 GB	136.6 MB	1.4 GB	68.4 MB	36.5 KB
63	06/d88df7	auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process (cellxgene_census/immune_cell_atlas/log_cp10k.mlp)	auto:run_benchmark:run_wf:runEachWf:mlp:processWf:mlp_process	cellxgene_census/immune_cell_atlas/log_cp10k.mlp	CACHED	0	1	7m 46s	7m 46s	595.2%	10 GB	12.6 GB	9.9 GB	12.5 GB	9.6 GB	166.5 KB
53	03/3289e2	auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process (cellxgene_census/hypomap/log_cp10k.logistic_regression)	auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process	cellxgene_census/hypomap/log_cp10k.logistic_regression	CACHED	0	1	17.8s	18.2s	1924.0%	12.8 GB	15.4 GB	12.8 GB	15.4 GB	12.5 GB	63 KB
23	57/1864ec	auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process (cellxgene_census/mouse_pancreas_atlas/log_cp10k.actinn_jax)	auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process	cellxgene_census/mouse_pancreas_atlas/log_cp10k.actinn_jax	CACHED	0	1	2m 14s	2m 14s	257.9%	14.6 GB	22.1 GB	13.6 GB	16.6 GB	13 GB	323.8 KB
48	3b/61d3d8	auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process (cellxgene_census/hypomap/log_cp10k.actinn_jax)	auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process	cellxgene_census/hypomap/log_cp10k.actinn_jax	CACHED	0	1	2m 45s	2m 45s	283.8%	15 GB	22.4 GB	13.6 GB	16.7 GB	12.5 GB	113 KB
47	a3/565cc5	auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process (cellxgene_census/immune_cell_atlas/log_cp10k.majority_vote)	auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process	cellxgene_census/immune_cell_atlas/log_cp10k.majority_vote	CACHED	0	1	1m 18s	1m 19s	11.9%	9.5 GB	10.9 GB	9.5 GB	10.9 GB	9.6 GB	163.5 KB
58	57/e73aa4	auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process (cellxgene_census/tabula_sapiens/log_cp10k.majority_vote)	auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process	cellxgene_census/tabula_sapiens/log_cp10k.majority_vote	CACHED	0	1	8.5s	9s	139.4%	19.2 GB	20.5 GB	19.2 GB	20.5 GB	19 GB	32.2 KB
39	a6/dfb0b7	auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process (cellxgene_census/gtex_v9/log_cp10k.majority_vote)	auto:run_benchmark:run_wf:runEachWf:majority_vote:processWf:majority_vote_process	cellxgene_census/gtex_v9/log_cp10k.majority_vote	CACHED	0	1	22.8s	23.3s	22.9%	2.6 GB	4.1 GB	2.6 GB	4.1 GB	2.9 GB	320.3 KB
16	2d/a9584d	auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process (cellxgene_census/gtex_v9/log_cp10k.knn)	auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process	cellxgene_census/gtex_v9/log_cp10k.knn	COMPLETED	0	1	28s	29s	69.6%	3 GB	5.6 GB	3 GB	5.6 GB	2.9 GB	357.3 KB
15	d3/64a352	auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process (cellxgene_census/tabula_sapiens/log_cp10k.naive_bayes)	auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process	cellxgene_census/tabula_sapiens/log_cp10k.naive_bayes	COMPLETED	0	1	2m 38s	2m 38s	14.6%	19.5 GB	22 GB	19.4 GB	22 GB	19 GB	36.8 KB
10	65/d66bf8	auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process (cellxgene_census/gtex_v9/log_cp10k.naive_bayes)	auto:run_benchmark:run_wf:runEachWf:naive_bayes:processWf:naive_bayes_process	cellxgene_census/gtex_v9/log_cp10k.naive_bayes	COMPLETED	0	1	3s	3.4s	328.8%	2.8 GB	5.5 GB	2.8 GB	5.5 GB	2.9 GB	326 KB
30	a0/d99a68	auto:run_benchmark:run_wf:runEachWf:xgboost:processWf:xgboost_process (cellxgene_census/gtex_v9/log_cp10k.xgboost)	auto:run_benchmark:run_wf:runEachWf:xgboost:processWf:xgboost_process	cellxgene_census/gtex_v9/log_cp10k.xgboost	COMPLETED	0	1	7m 7s	7m 8s	2208.6%	20.5 GB	24.5 GB	20.5 GB	24.5 GB	2.9 GB	327.2 KB
55	1a/bd8c0f	auto:run_benchmark:run_wf:runEachWf:cellmapper_linear:processWf:cellmapper_linear_process (cellxgene_census/dkd/log_cp10k.cellmapper_linear)	auto:run_benchmark:run_wf:runEachWf:cellmapper_linear:processWf:cellmapper_linear_process	cellxgene_census/dkd/log_cp10k.cellmapper_linear	COMPLETED	0	1	24.6s	25s	114.8%	1.5 GB	4.3 GB	1.5 GB	4.3 GB	1.3 GB	1.4 MB
35	e7/11d7f7	auto:run_benchmark:run_wf:runEachWf:cellmapper_linear:processWf:cellmapper_linear_process (cellxgene_census/gtex_v9/log_cp10k.cellmapper_linear)	auto:run_benchmark:run_wf:runEachWf:cellmapper_linear:processWf:cellmapper_linear_process	cellxgene_census/gtex_v9/log_cp10k.cellmapper_linear	COMPLETED	0	1	28.4s	28.8s	673.0%	6.3 GB	10.5 GB	6 GB	10.4 GB	3 GB	1.6 MB
44	b2/3f4561	auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process (cellxgene_census/tabula_sapiens/log_cp10k.actinn_jax)	auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process	cellxgene_census/tabula_sapiens/log_cp10k.actinn_jax	COMPLETED	0	1	6m 15s	6m 15s	152.4%	21 GB	28.6 GB	20.1 GB	23.1 GB	19.1 GB	92 KB
28	bf/604fad	auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process (cellxgene_census/dkd/log_cp10k.knn)	auto:run_benchmark:run_wf:runEachWf:knn:processWf:knn_process	cellxgene_census/dkd/log_cp10k.knn	COMPLETED	0	1	2.1s	2.5s	473.5%	158.7 MB	2.7 GB	158.7 MB	2.7 GB	1.3 GB	199.4 KB
46	2f/967e8c	auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process (cellxgene_census/dkd/log_cp10k.actinn_jax)	auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process	cellxgene_census/dkd/log_cp10k.actinn_jax	COMPLETED	0	1	29.3s	29.7s	172.7%	1.8 GB	11.4 GB	1.7 GB	11.2 GB	1.3 GB	218.6 KB
20	8d/5339fa	auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process (cellxgene_census/gtex_v9/log_cp10k.actinn_jax)	auto:run_benchmark:run_wf:runEachWf:actinn_jax:processWf:actinn_jax_process	cellxgene_census/gtex_v9/log_cp10k.actinn_jax	COMPLETED	0	1	2m 24s	2m 24s	165.2%	3.6 GB	11.6 GB	3.5 GB	11.6 GB	3 GB	377.5 KB
26	3a/9beef2	auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process (cellxgene_census/gtex_v9/log_cp10k.logistic_regression)	auto:run_benchmark:run_wf:runEachWf:logistic_regression:processWf:logistic_regression_process	cellxgene_census/gtex_v9/log_cp10k.logistic_regression	COMPLETED	0	1	18.3s	18.7s	2302.4%	3.3 GB	5.9 GB	3.3 GB	5.9 GB	2.9 GB	326.3 KB
