dataset,repeat,method,tier,device,n_ref,n_query,fit_s,predict_s,peak_mem_mb,n,pct_rejected,accuracy,macro_f1,kappa,ontology_concordance
pbmc,2,singler,classical,cpu,1981,657,0.0413808749290183,3.8335636249976233,1346.994176,657,0.0,0.9254185692541856,0.883621795389664,0.8982119990514584,
pbmc,0,scmap-cluster,classical,cpu,1981,657,0.0412799160694703,3.6477247499860823,2995.027968,657,0.0,0.8706240487062404,0.778315661297897,0.8296572402917286,
pbmc,1,scmap-cluster,classical,cpu,1981,657,0.0404324589762836,3.5499894579406828,2938.732544,657,0.0,0.8706240487062404,0.778315661297897,0.8296572402917286,
pbmc,2,scmap-cluster,classical,cpu,1981,657,0.043269666028209,3.61684333300218,2985.623552,657,0.0,0.8706240487062404,0.778315661297897,0.8296572402917286,
pbmc,0,scanvi,deep,mps,1981,657,0.0056996659841388,16.951402209000662,1048.068096,657,0.0,0.908675799086758,0.8562321809306388,0.8758491671312088,
pbmc,1,scanvi,deep,mps,1981,657,0.0064151670085266,16.52998754195869,1041.399808,657,0.0,0.9254185692541856,0.8666666954533617,0.8983810025852191,
pbmc,2,scanvi,deep,mps,1981,657,0.0062757079722359,16.94133141695056,1048.90368,657,0.0,0.9162861491628614,0.864612010107567,0.8866107486797141,
pbmc,0,scarches,deep,mps,1981,657,12.546130875009112,2.9520117500796914,1054.769152,657,0.0,0.9315068493150684,0.8782479283109274,0.9067344273465447,
pbmc,1,scarches,deep,mps,1981,657,13.839038249920122,2.989580790977925,1058.111488,657,0.0,0.9360730593607306,0.8832411248073011,0.9128727001758712,
pbmc,2,scarches,deep,mps,1981,657,12.5820450829342,3.087160791037604,1050.411008,657,0.0,0.9345509893455098,0.8819534900064163,0.9108792827692376,
liver_cross,0,actinn-jax,classical,cpu,5400,3396,12.456281666993164,0.2189734170679003,2086.862848,3396,0.0,0.6855123674911661,0.5692365514071739,0.672688286935428,0.7311542991755006
liver_cross,1,actinn-jax,classical,cpu,5400,3396,12.30532508296892,0.2165793330641463,2090.1888,3396,0.0,0.6855123674911661,0.5692365514071739,0.672688286935428,0.7311542991755006
liver_cross,2,actinn-jax,classical,cpu,5400,3396,12.309285625000484,0.2191790839424356,2092.040192,3396,0.0,0.6855123674911661,0.5692365514071739,0.672688286935428,0.7311542991755006
liver_cross,0,svm,classical,cpu,5400,3396,9.145167583948933,0.0588899999856948,1273.757696,3396,0.0,0.6581272084805654,0.5589766711807682,0.6438355941642513,0.7075971731448764
liver_cross,1,svm,classical,cpu,5400,3396,9.772935207933187,0.0579506249632686,1275.838464,3396,0.0,0.6622497055359247,0.5655799150267872,0.6481880775396435,0.7108362779740872
liver_cross,2,svm,classical,cpu,5400,3396,10.166977999964727,0.0571322499308735,1274.216448,3396,0.0,0.6604829210836278,0.5673789697142851,0.6463163029119198,0.7087750294464076
liver_cross,0,knn,classical,cpu,5400,3396,1.6979547499213368,0.1212363749509677,1359.347712,3396,0.0,0.6148409893992933,0.5148223173614511,0.5991094063762099,0.6657832744405182
liver_cross,1,knn,classical,cpu,5400,3396,1.7854733749991285,0.1300753330579027,1361.084416,3396,0.0,0.6130742049469965,0.516768427005141,0.5972175310778411,0.6631330977620731
liver_cross,2,knn,classical,cpu,5400,3396,1.7884429999394342,0.1330657920334488,1361.149952,3396,0.0,0.6130742049469965,0.5203899982193212,0.5972652974140685,0.666077738515901
liver_cross,0,celltypist,classical,cpu,5400,3396,11.427267665974796,0.5591674169991165,1503.363072,3396,0.0,0.6793286219081273,0.5994516176202486,0.6658207616253811,0.7211425206124853
liver_cross,1,celltypist,classical,cpu,5400,3396,10.453920500003733,0.5948651250218973,1503.281152,3396,0.0,0.6775618374558304,0.596745936521031,0.6639670435367545,0.7143698468786808
liver_cross,2,celltypist,classical,cpu,5400,3396,10.47300483402796,0.5908485000254586,1501.954048,3396,0.0,0.6725559481743227,0.6010764491917822,0.6587773821213304,0.7158421672555948
liver_cross,0,singler,classical,cpu,5400,3396,0.1852643339661881,23.833871208014894,3220.258816,3396,0.0,0.4946996466431095,0.4197018304929646,0.4732795055880835,0.5429917550058893
liver_cross,1,singler,classical,cpu,5400,3396,0.1957174580311402,23.358488332945853,3221.569536,3396,0.0,0.4946996466431095,0.4197018304929646,0.4732795055880835,0.5429917550058893
liver_cross,2,singler,classical,cpu,5400,3396,0.1967404579045251,23.44088016601745,3225.239552,3396,0.0,0.4946996466431095,0.4197018304929646,0.4732795055880835,0.5429917550058893
liver_cross,0,scmap-cluster,classical,cpu,5400,3396,0.182486749952659,7.276753166923299,8153.874432,3396,0.0,0.234982332155477,0.2272698198065248,0.2215732397471604,0.6553191489361702
liver_cross,1,scmap-cluster,classical,cpu,5400,3396,0.1832220000214874,7.219908208004199,8139.177984,3396,0.0,0.234982332155477,0.2272698198065248,0.2215732397471604,0.6553191489361702
liver_cross,2,scmap-cluster,classical,cpu,5400,3396,0.1852228329516947,7.282125041005202,8140.47232,3396,0.0,0.234982332155477,0.2272698198065248,0.2215732397471604,0.6553191489361702
liver_cross,0,scanvi,deep,mps,5400,3396,0.0070415410446003,50.73530829208903,1937.276928,3396,0.0,0.6760895170789164,0.5804964972871779,0.6627735834612813,0.708186101295642
liver_cross,1,scanvi,deep,mps,5400,3396,0.0065457500750198,52.11044429196045,1933.39392,3396,0.0,0.6595995288574794,0.5756135153876678,0.645863652613375,0.7131919905771495
liver_cross,2,scanvi,deep,mps,5400,3396,0.0065047079697251,48.30382491694763,1933.574144,3396,0.0,0.6598939929328622,0.5503797213162288,0.6459086505741329,0.700530035335689
liver_cross,0,scarches,deep,mps,5400,3396,29.749077917076647,12.547931874985808,1614.544896,3396,0.0,0.658716136631331,0.5626356273599192,0.6448196572460295,0.7017078916372202
liver_cross,1,scarches,deep,mps,5400,3396,29.712348875007592,12.8638139590621,1622.523904,3396,0.0,0.6613663133097762,0.5622365211393718,0.6471844180074168,0.700530035335689
liver_cross,2,scarches,deep,mps,5400,3396,33.244446333963424,13.933639415889049,1614.80704,3396,0.0,0.6575382803297998,0.5471959197249987,0.6434476688287947,0.7040636042402827
liver_intra,0,actinn-jax,classical,cpu,4068,1332,9.681513500050642,0.145465207984671,1521.795072,1332,0.0,0.8018018018018018,0.7975949786156259,0.7961389961389962,0.8460960960960962
liver_intra,1,actinn-jax,classical,cpu,4068,1332,9.21731908293441,0.1410044160438701,1520.549888,1332,0.0,0.8018018018018018,0.7975949786156259,0.7961389961389962,0.8460960960960962
