dataset,method,repeat,accuracy,macro_f1,ontology_concordance,fit_s,predict_s,peak_mem_mb
liver_cross,singler,1,0.4946996466431095,0.4197018304929646,0.5429917550058893,0.1957174580311402,23.358488332945853,3221.569536
liver_cross,singler,2,0.4946996466431095,0.4197018304929646,0.5429917550058893,0.1967404579045251,23.44088016601745,3225.239552
liver_cross,scmap-cluster,0,0.234982332155477,0.2272698198065248,0.6553191489361702,0.182486749952659,7.276753166923299,8153.874432
liver_cross,scmap-cluster,1,0.234982332155477,0.2272698198065248,0.6553191489361702,0.1832220000214874,7.219908208004199,8139.177984
liver_cross,scmap-cluster,2,0.234982332155477,0.2272698198065248,0.6553191489361702,0.1852228329516947,7.282125041005202,8140.47232
liver_cross,scanvi,0,0.6760895170789164,0.5804964972871779,0.708186101295642,0.0070415410446003,50.73530829208903,1937.276928
liver_cross,scanvi,1,0.6595995288574794,0.5756135153876678,0.7131919905771495,0.0065457500750198,52.11044429196045,1933.39392
liver_cross,scanvi,2,0.6598939929328622,0.5503797213162288,0.700530035335689,0.0065047079697251,48.30382491694763,1933.574144
liver_cross,scarches,0,0.658716136631331,0.5626356273599192,0.7017078916372202,29.749077917076647,12.547931874985808,1614.544896
liver_cross,scarches,1,0.6613663133097762,0.5622365211393718,0.700530035335689,29.712348875007592,12.8638139590621,1622.523904
liver_cross,scarches,2,0.6575382803297998,0.5471959197249987,0.7040636042402827,33.244446333963424,13.933639415889049,1614.80704
liver_intra,actinn-jax,0,0.8018018018018018,0.7975949786156259,0.8460960960960962,9.681513500050642,0.145465207984671,1521.795072
liver_intra,actinn-jax,1,0.8018018018018018,0.7975949786156259,0.8460960960960962,9.21731908293441,0.1410044160438701,1520.549888
liver_intra,actinn-jax,2,0.8018018018018018,0.7975949786156259,0.8460960960960962,9.344397542066872,0.1395908329868689,1519.157248
liver_intra,svm,0,0.7477477477477478,0.750884129996022,0.8085585585585585,6.290649708011188,0.036561332992278,1056.129024
liver_intra,svm,1,0.7522522522522522,0.7538479338450469,0.8055555555555556,6.420849249931052,0.0398107500514015,1056.980992
liver_intra,svm,2,0.740990990990991,0.742654898871983,0.801051051051051,6.414672916987911,0.0361597921000793,1057.652736
liver_intra,knn,0,0.6584084084084084,0.6509396128955401,0.7342342342342343,1.7135463749291375,0.0721750420052558,1112.784896
liver_intra,knn,1,0.6554054054054054,0.6475253946993271,0.7312312312312312,1.707725040963851,0.0717447079950943,1111.965696
liver_intra,knn,2,0.6591591591591591,0.6517929140580976,0.7357357357357357,1.6726463329978287,0.0702743330039084,1112.4736
liver_intra,celltypist,0,0.7882882882882883,0.7903073389039448,0.8363363363363363,7.280501167057082,0.5634478750871494,1211.039744
liver_intra,celltypist,1,0.7912912912912913,0.7935601121533504,0.8385885885885885,7.916832959046587,0.5346932910615578,1210.662912
liver_intra,celltypist,2,0.7905405405405406,0.7932057324985079,0.8385885885885885,7.534795166924596,0.5435157920001075,1211.809792
liver_intra,actinn-orig,0,0.801051051051051,0.7982543266088522,0.8475975975975976,0.057547083008103,36.63375854201149,5269.0944
liver_intra,actinn-orig,1,0.7897897897897898,0.7845995214427599,0.8385885885885885,0.0527455830015242,36.13387620891445,5269.635072
liver_intra,actinn-orig,2,0.7920420420420421,0.7891477202385206,0.8378378378378378,0.052384249982424,36.58177045895718,5268.504576
liver_intra,singler,0,0.704954954954955,0.7017228446940056,0.7732732732732732,0.1493273330852389,10.768950499943458,2737.618944
liver_intra,singler,1,0.704954954954955,0.7017228446940056,0.7732732732732732,0.1524064580444246,10.423708708025517,2742.76352
liver_intra,singler,2,0.704954954954955,0.7017228446940056,0.7732732732732732,0.1441178329987451,10.53964187495876,2722.52928
liver_intra,scmap-cluster,0,0.5578078078078078,0.5648621131140151,0.7690241718889884,0.1438008330296725,6.155021790997125,6487.310336
liver_intra,scmap-cluster,1,0.5578078078078078,0.564881990810726,0.7681289167412713,0.145681207999587,6.154987707966939,6462.111744
liver_intra,scmap-cluster,2,0.5578078078078078,0.564881990810726,0.7681289167412713,0.1552089999895542,6.153890917077661,6462.554112
liver_intra,scanvi,0,0.8070570570570571,0.8065369670501776,0.8528528528528528,0.0106055000796914,38.88865637499839,1674.264576
liver_intra,scanvi,1,0.8055555555555556,0.8021420674944093,0.8423423423423423,0.0065616249339655,36.0955684579676,1670.856704
liver_intra,scanvi,2,0.7920420420420421,0.7893143936135525,0.831081081081081,0.0065130420261994,35.883137625060044,1673.265152
liver_intra,scarches,0,0.8018018018018018,0.8020694242444399,0.8498498498498499,28.090217959019355,6.273540291003883,1536.933888
liver_intra,scarches,1,0.7920420420420421,0.790287955060055,0.8378378378378378,28.78683854197152,5.647584250080399,1434.99264
liver_intra,scarches,2,0.7777777777777778,0.7781519661258754,0.825075075075075,25.35211445891764,7.544240792049095,1541.226496
blood_gut_intra,actinn-jax,0,0.8603199375731565,0.8603725918833348,,18.61031233391259,0.274787166970782,2311.53664
blood_gut_intra,actinn-jax,1,0.8603199375731565,0.8603725918833348,,18.657762916991487,0.2888164169853553,2477.2608
blood_gut_intra,actinn-jax,2,0.8603199375731565,0.8603725918833348,,19.005665624979883,0.2856460829498246,2477.473792
blood_gut_intra,svm,0,0.8591494342567304,0.8611948620075898,,21.185525791952383,0.0722465409198775,1757.315072
blood_gut_intra,svm,1,0.8618806086617246,0.8644449064678323,,22.786520624998957,0.0717704580165445,1756.823552
blood_gut_intra,svm,2,0.8626609442060086,0.8649198848561873,,22.079298124997877,0.0742770419456064,1905.606656
blood_gut_intra,knn,0,0.777214202106906,0.7748725942172604,,2.1011536669684574,0.1406767499865964,1907.965952
blood_gut_intra,knn,1,0.777214202106906,0.7747338442739296,,1.9851157910889017,0.1384521250147372,1904.377856
blood_gut_intra,knn,2,0.7756535310183379,0.7740035394590985,,1.9791424580616876,0.1344480830011889,1905.95072
blood_gut_intra,celltypist,0,0.8751463129145532,0.8763754672049661,,27.92594437499065,0.637980290921405,1856.192512
blood_gut_intra,celltypist,1,0.8743659773702692,0.8756238688014986,,27.754412916954607,0.5887052080361173,1857.04448
blood_gut_intra,celltypist,2,0.8689036285602809,0.8702461403983038,,26.903393000015058,0.5947251670295373,1855.81568
blood_gut_intra,actinn-orig,0,0.8646117830667187,0.8649807387360355,,0.0778472500387579,64.08991087495815,8857.632768
blood_gut_intra,actinn-orig,1,0.8611002731174405,0.8610998181971957,,0.0851938329869881,62.700901375035755,8858.50112
blood_gut_intra,actinn-orig,2,0.8505657432696059,0.8510196328580016,,0.0821443340973928,63.31734529091045,8856.354816
blood_gut_intra,singler,0,0.8505657432696059,0.8491517963716975,,0.3760291669750586,34.90944550000131,5019.303936
blood_gut_intra,singler,1,0.8505657432696059,0.8491517963716975,,0.3645528329070657,34.82496500003617,5097.0624
blood_gut_intra,singler,2,0.8505657432696059,0.8491517963716975,,0.3628028749953955,34.891348458011635,5019.910144
blood_gut_intra,scmap-cluster,0,0.7229808817791651,0.7255456759091035,,0.3567224170546978,11.129373209085315,11792.400384
blood_gut_intra,scmap-cluster,1,0.7229808817791651,0.7254581411731544,,0.3804297080496326,10.947604874963872,11791.368192
